PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
7747.13,7753.49,7702.23,7702.23,133349805
7727.77,7749.82,7719.02,7748.86,71750888
7741.88,7746.91,7634.26,7696.21,143511599
7702.92,7731.63,7684.84,7707.54,123888012
7700.53,7753.3,7661.96,7748.13,129648573
7746.78,7865.16,7743.19,7857.97,120195224
7859.83,7871.79,7831.72,7833,88204118
7841.96,7857.14,7800.12,7848.57,114467815
7855.68,7863.35,7775.03,7811.31,129319129
7800.45,7812.34,7765.2,7776.05,171415131
7792.59,7853.37,7784.97,7833.39,128953919
7822.54,7837.64,7637.68,7638.23,197214658
7643.54,7677.14,7622.3,7664.66,179590985
7665.88,7694.42,7537.29,7581.18,152984436
7581.37,7661.31,7565.32,7590.85,144796570
7607.57,7655.31,7577.34,7652.14,123635715
7627.72,7676.82,7597.61,7633.74,103660623
7619.12,7661.97,7593.66,7660.19,118827890
7678.48,7737.41,7650.29,7711.89,97751659
7697.89,7729.36,7607.48,7631.19,113779397
7636.26,7649.5,7588.57,7593.51,185136963
7591.08,7629.78,7568.16,7628.73,91570784
7614.1,7762.9,7611.6,7752.45,131078413
7747.21,7784.64,7709.48,7728.9,135413025
7681.61,7688.44,7561.84,7583.57,156412337
7619.81,7681.12,7607.26,7661.91,148914787
7731.8,7860.57,7726.4,7773.19,182462143
7682.24,7683.96,7589.32,7597.11,171515589
7641.84,7679.44,7565.78,7675.83,117566572
7712.2,7753.39,7691.81,7741.7,126361698
7735.35,7767.67,7627.99,7708.16,131318363
7654.67,7708.88,7637.32,7691.68,83887404
7779.62,7883.6,7772.33,7870.31,137283371
7907.39,7977.64,7898.04,7919.33,124626582
7934.19,7956.26,7911.56,7939.77,98781241
7970.66,8015.07,7962.28,7986.47,134776158
7967.46,7989.21,7954.58,7984.29,82983074
7970.83,7999.5,7933.94,7966.12,175953894
7964.77,7978.84,7942.37,7970.91,368771731
8013.25,8060.26,8011.22,8058.37,280674113
8074.03,8074.47,7996.95,8042.85,311603833
7924.04,8020.91,7901.94,8010.7,130362692
7980.54,8000.97,7919.45,7947.79,154894733
7995.59,8030.46,7972.21,8001.97,122106268
7989.59,7999.34,7887.67,7932.51,159845834
7917.64,7953.93,7876.36,7911.35,131986142
7988.27,8030.76,7847.97,7870.9,157511259
7889.15,7912.52,7859.27,7879.67,115373406
7905.96,7916.76,7750.38,7789.09,146704568
7791.14,7842.58,7778.02,7795.31,128175646
7806.12,7949.2,7805.92,7943.87,116769828
7926.88,7953.15,7869.81,7874.75,103685012
7902.86,7927.93,7803.89,7817.39,144996334
7820.69,7825.28,7632.42,7658.75,144759676
7669.04,7698.47,7645.56,7662.64,85361044
7704.35,7723.2,7608.04,7637.51,120782813
7664.16,7822.12,7660.2,7810.63,158663880
7799.31,7885.45,7786.75,7871.63,126500577
